,train,val,test
00006397,True,False,False
00006361,True,False,False
00006362,True,False,False
00006398,True,False,False
00006399,True,False,False
00006400,True,False,False
00006401,True,False,False
00006402,True,False,False
00006403,True,False,False
00006365,True,False,False
00006366,True,False,False
00006367,True,False,False
00006368,True,False,False
00006369,True,False,False
00006370,True,False,False
00006371,True,False,False
00006372,True,False,False
00006373,True,False,False
00006374,True,False,False
00006375,True,False,False
00006376,True,False,False
00006377,True,False,False
missing2,True,False,False
B-1,True,False,False
B-2,True,False,False
B-3,True,False,False
B-4,True,False,False
E-1,True,False,False
E-2,True,False,False
E-3,True,False,False
E-4,True,False,False
C-1,True,False,False
C-10,True,False,False
C-2,True,False,False
C-3,True,False,False
C-4,True,False,False
C-5,True,False,False
C-6,True,False,False
C-7,True,False,False
C-8,True,False,False
C-9,True,False,False
K-1,True,False,False
O-1,True,False,False
O-4,True,False,False
S-1,True,False,False
S-2,True,False,False
S-3,True,False,False
S-4,True,False,False
S-5,True,False,False
S-6,True,False,False
S-7,True,False,False
S-8,True,False,False
S-9,True,False,False
T-1,True,False,False
T-2,True,False,False
T-3,True,False,False
T-4,True,False,False
W-1,True,False,False
W-2,True,False,False
W-3,True,False,False
W-4,True,False,False
W-5,True,False,False
Y-1,True,False,False
AA-1,True,False,False
DD-1,True,False,False
FF-1,True,False,False
FF-2,True,False,False
FF-3,True,False,False
FF-4,True,False,False
FF-5,True,False,False
(A1-3),True,False,False
00006344,False,True,False
00006345,False,True,False
EE-1,False,True,False
EE-2,False,True,False
EE-3,False,True,False
ef0e94db-90df-48ae-b2aa-72607815ce6a,False,True,False
1.70258E+12,False,True,False
00006322,False,True,False
00006323,False,True,False
00006324,False,True,False
missing1,False,True,False
F-1,False,True,False
F-2,False,True,False
F-3,False,True,False
F-4,False,True,False
F-5,False,True,False
00006359,False,True,False
00006360,False,True,False
G-1,False,True,False
G-2,False,True,False
G-3,False,True,False
G-4,False,True,False
G-5,False,True,False
00006350,False,False,True
00006351,False,False,True
00006352,False,False,True
00006353,False,False,True
N-1,False,False,True
1.70258E+12,False,False,True
1.70258E+12,False,False,True
H-1,False,False,True
H-2,False,False,True
H-3,False,False,True
H-4,False,False,True
448746e0-e43f-446c-8017-2148bda88d92,False,False,True
BB-1,False,False,True
BB-2,False,False,True
BB-3,False,False,True
BB-4,False,False,True
BB-5,False,False,True
a4de35f1-b557-417a-a5d4-efc3334a628c,False,False,True
00006363,False,False,True
00006364,False,False,True
