,train,val,test
00006403,True,False,False
00006363,True,False,False
00006364,True,False,False
00006365,True,False,False
00006366,True,False,False
00006372,True,False,False
00006373,True,False,False
00006374,True,False,False
00006375,True,False,False
00006376,True,False,False
00006377,True,False,False
missing1,True,False,False
missing2,True,False,False
B-1,True,False,False
B-2,True,False,False
B-3,True,False,False
B-4,True,False,False
F-1,True,False,False
F-2,True,False,False
F-3,True,False,False
F-4,True,False,False
F-5,True,False,False
G-1,True,False,False
G-2,True,False,False
G-3,True,False,False
G-4,True,False,False
G-5,True,False,False
C-1,True,False,False
C-10,True,False,False
C-2,True,False,False
C-3,True,False,False
C-4,True,False,False
C-5,True,False,False
C-6,True,False,False
C-7,True,False,False
C-8,True,False,False
C-9,True,False,False
O-1,True,False,False
O-4,True,False,False
S-1,True,False,False
S-2,True,False,False
S-3,True,False,False
S-4,True,False,False
S-5,True,False,False
S-6,True,False,False
S-7,True,False,False
S-8,True,False,False
S-9,True,False,False
T-1,True,False,False
T-2,True,False,False
T-3,True,False,False
T-4,True,False,False
AA-1,True,False,False
BB-1,True,False,False
BB-2,True,False,False
BB-3,True,False,False
BB-4,True,False,False
BB-5,True,False,False
DD-1,True,False,False
FF-1,True,False,False
FF-2,True,False,False
FF-3,True,False,False
FF-4,True,False,False
FF-5,True,False,False
(A1-3),True,False,False
a4de35f1-b557-417a-a5d4-efc3334a628c,True,False,False
00006348,False,True,False
00006349,False,True,False
M-1,False,True,False
M-2,False,True,False
M-3,False,True,False
M-4,False,True,False
M-5,False,True,False
ee1ab5b7-a967-4380-8403-8e8f1a56a100,False,True,False
1.70258E+12,False,True,False
H-1,False,True,False
H-2,False,True,False
H-3,False,True,False
H-4,False,True,False
W-1,False,True,False
W-2,False,True,False
W-3,False,True,False
W-4,False,True,False
W-5,False,True,False
K-1,False,True,False
E-1,False,True,False
E-2,False,True,False
E-3,False,True,False
E-4,False,True,False
00006367,False,True,False
00006368,False,True,False
00006369,False,True,False
00006370,False,True,False
00006371,False,True,False
1.70258E+12,False,False,True
U-1,False,False,True
U-2,False,False,True
U-3,False,False,True
U-4,False,False,True
U-6,False,False,True
U-7,False,False,True
ef0e94db-90df-48ae-b2aa-72607815ce6a,False,False,True
00006344,False,False,True
00006345,False,False,True
1.70258E+12,False,False,True
00006389,False,False,True
00006390,False,False,True
00006395,False,False,True
00006396,False,False,True
00006397,False,False,True
00006391,False,False,True
00006392,False,False,True
Y-1,False,False,True
