,train,val,test
ef0e94db-90df-48ae-b2aa-72607815ce6a,True,False,False
3be35919-9ab1-4f62-bdec-18d98d82efa6,True,False,False
448746e0-e43f-446c-8017-2148bda88d92,True,False,False
8384f1ea-6fad-4fdc-97b7-1f305fbea16a,True,False,False
00006378,True,False,False
00006379,True,False,False
00006380,True,False,False
00006381,True,False,False
00006382,True,False,False
00006383,True,False,False
00006384,True,False,False
00006387,True,False,False
00006388,True,False,False
00006389,True,False,False
00006390,True,False,False
00006391,True,False,False
00006392,True,False,False
00006395,True,False,False
00006396,True,False,False
00006397,True,False,False
00006361,True,False,False
00006362,True,False,False
00006398,True,False,False
00006399,True,False,False
00006363,True,False,False
00006364,True,False,False
00006365,True,False,False
00006366,True,False,False
00006367,True,False,False
00006368,True,False,False
00006369,True,False,False
00006370,True,False,False
00006371,True,False,False
00006372,True,False,False
00006373,True,False,False
00006374,True,False,False
missing1,True,False,False
missing2,True,False,False
B-1,True,False,False
B-2,True,False,False
B-3,True,False,False
B-4,True,False,False
E-1,True,False,False
E-2,True,False,False
E-3,True,False,False
E-4,True,False,False
G-1,True,False,False
G-2,True,False,False
G-3,True,False,False
G-4,True,False,False
G-5,True,False,False
C-1,True,False,False
C-10,True,False,False
C-2,True,False,False
C-3,True,False,False
C-4,True,False,False
C-5,True,False,False
C-6,True,False,False
C-7,True,False,False
C-8,True,False,False
C-9,True,False,False
O-1,True,False,False
O-4,True,False,False
S-1,True,False,False
S-2,True,False,False
S-3,True,False,False
S-4,True,False,False
S-5,True,False,False
S-6,True,False,False
S-7,True,False,False
S-8,True,False,False
S-9,True,False,False
T-1,True,False,False
T-2,True,False,False
T-3,True,False,False
T-4,True,False,False
Y-1,True,False,False
AA-1,True,False,False
BB-1,True,False,False
BB-2,True,False,False
BB-3,True,False,False
BB-4,True,False,False
BB-5,True,False,False
DD-1,True,False,False
FF-1,True,False,False
FF-2,True,False,False
FF-3,True,False,False
FF-4,True,False,False
FF-5,True,False,False
(A1-3),True,False,False
a4de35f1-b557-417a-a5d4-efc3334a628c,True,False,False
00006325,False,True,False
00006326,False,True,False
1.70258E+12,False,True,False
GG-1,False,True,False
GG-2,False,True,False
P-1,False,True,False
P-2,False,True,False
P-3,False,True,False
P-4,False,True,False
P-5,False,True,False
P-6,False,True,False
M-1,False,True,False
M-2,False,True,False
M-3,False,True,False
M-4,False,True,False
M-5,False,True,False
W-1,False,True,False
W-2,False,True,False
W-3,False,True,False
W-4,False,True,False
W-5,False,True,False
00006375,False,True,False
00006376,False,True,False
00006377,False,True,False
F-1,False,True,False
F-2,False,True,False
F-3,False,True,False
F-4,False,True,False
F-5,False,True,False
K-1,False,True,False
00006327,False,False,True
00006328,False,False,True
00006329,False,False,True
00006330,False,False,True
00006344,False,False,True
00006345,False,False,True
H-1,False,False,True
H-2,False,False,True
H-3,False,False,True
H-4,False,False,True
00006354,False,False,True
00006355,False,False,True
00006356,False,False,True
00006357,False,False,True
00006358,False,False,True
1.70258E+12,False,False,True
00006400,False,False,True
00006401,False,False,True
00006402,False,False,True
00006403,False,False,True
00006359,False,False,True
00006360,False,False,True
00006385,False,False,True
00006386,False,False,True
00006393,False,False,True
00006394,False,False,True
