,train,val,test
E-1,True,False,False
E-2,True,False,False
E-3,True,False,False
E-4,True,False,False
F-1,True,False,False
F-2,True,False,False
F-3,True,False,False
F-4,True,False,False
F-5,True,False,False
C-1,True,False,False
C-10,True,False,False
C-2,True,False,False
C-3,True,False,False
C-4,True,False,False
C-5,True,False,False
C-6,True,False,False
C-7,True,False,False
C-8,True,False,False
C-9,True,False,False
K-1,True,False,False
O-1,True,False,False
O-4,True,False,False
S-1,True,False,False
S-2,True,False,False
S-3,True,False,False
S-4,True,False,False
S-5,True,False,False
S-6,True,False,False
S-7,True,False,False
S-8,True,False,False
S-9,True,False,False
T-1,True,False,False
T-2,True,False,False
T-3,True,False,False
T-4,True,False,False
W-1,True,False,False
W-2,True,False,False
W-3,True,False,False
W-4,True,False,False
W-5,True,False,False
Y-1,True,False,False
AA-1,True,False,False
BB-1,True,False,False
BB-2,True,False,False
BB-3,True,False,False
BB-4,True,False,False
BB-5,True,False,False
FF-1,True,False,False
FF-2,True,False,False
FF-3,True,False,False
FF-4,True,False,False
FF-5,True,False,False
(A1-3),True,False,False
a4de35f1-b557-417a-a5d4-efc3334a628c,True,False,False
Z-1,False,True,False
Z-2,False,True,False
Z-3,False,True,False
Z-4,False,True,False
Z-5,False,True,False
Z-6,False,True,False
Z-7,False,True,False
00006331,False,True,False
00006332,False,True,False
ee1ab5b7-a967-4380-8403-8e8f1a56a100,False,True,False
A-1,False,True,False
CC-1,False,True,False
CC-2,False,True,False
CC-3,False,True,False
CC-4,False,True,False
CC-5,False,True,False
00006359,False,True,False
00006360,False,True,False
DD-1,False,True,False
G-1,False,True,False
G-2,False,True,False
G-3,False,True,False
G-4,False,True,False
G-5,False,True,False
00006382,False,True,False
00006383,False,True,False
00006384,False,True,False
X-1,False,False,True
X-2,False,False,True
X-3,False,False,True
X-4,False,False,True
X-5,False,False,True
X-6,False,False,True
L-1,False,False,True
L-2,False,False,True
L-3,False,False,True
(A1),False,False,True
(B1),False,False,True
V-1,False,False,True
V-2,False,False,True
V-3,False,False,True
V-4,False,False,True
V-5,False,False,True
V-6,False,False,True
V-7,False,False,True
00006322,False,False,True
00006323,False,False,True
00006324,False,False,True
B-1,False,False,True
B-2,False,False,True
B-3,False,False,True
B-4,False,False,True
00006400,False,False,True
00006401,False,False,True
00006402,False,False,True
00006403,False,False,True
00006393,False,False,True
00006394,False,False,True
00006378,False,False,True
00006379,False,False,True
00006380,False,False,True
00006381,False,False,True
